,country,lat,lon
0,ad,1.57676643468505,42.5486542501806
1,au,134.489562606981,-25.7349684916223
2,by,28.0467875099009,53.5399976445262
3,ba,50.5596439032492,26.0224069941867
4,br,-51.6197890205486,-9.58890301712257
5,bg,25.2315070071904,42.7613767127692
6,cv,-23.509,14.918
7,cn,101.901875103385,35.4867029846329
8,cr,-84.2009147613538,10.2577944410312
9,hr,16.6791068850861,45.6649521968376
10,do,-70.1067224933053,18.6062576970524
11,ee,25.7615268448868,58.7783968568071
12,fi,26.199539005192,62.7777539652943
13,fr,2.61878695312962,47.8249046208979
14,de,10.0183432948567,51.1334813439932
15,gh,-1.16759442759906,6.88085426914622
16,gt,-90.3900017126126,15.6055893260292
17,hn,-86.9216408872841,14.7616644478253
18,hu,19.4993490091469,47.0602667471763
19,it,12.6463610364431,42.5041539170675
20,lv,24.8625932740492,56.9590654127872
21,lu,6.08781366657564,49.7706279766425
22,ml,-1.25214497310038,17.3503352399376
23,mx,-102.532867448126,23.9504642310912
24,mz,34.7501973908725,-18.0874664869235
25,nl,5.61349061168593,51.9724664894952
26,nz,171.779900195937,-41.8388752215127
27,ne,5.61349061168593,51.9724664894952
28,no,126.847799277746,40.3470993177997
29,pk,67.6952367278874,28.1863846711864
30,pl,19.30063630556,52.1246099075455
31,pt,-8.56273059638958,39.6009946583093
32,lc,-60.9687124495575,13.897869297883
33,sg,103.808052586332,1.3516161224392
34,es,-4.05568501525488,41.2948556295683
35,se,17.6754094331351,64.9648751621697
36,ch,101.901875103385,35.4867029846329
37,tn,9.56116835557131,34.1107038598115
38,tr,35.1795933806353,39.0604813685019
39,ae,10.5257705053847,1.61213015485833
40,gb,-2.36966957036279,54.2379333607472
41,ve,-65.801997444749,7.61957014788959
42,ar,-63.954193,-36.252002
43,am,-97.9222112121185,39.3812661305678
44,at,14.3001435907641,47.6077978292689
45,bb,-59.5619546611369,13.1787146900535
46,be,4.63357500000001,50.438696
47,co,-73.129056,3.06508799999999
48,cu,-68.9817448480808,12.178308183856
49,cy,-81.2384511989646,19.3086622401692
50,cz,15.3384118376873,49.7428590048094
51,cd,23.1668993658996,-1.17291850148401
52,dk,10.0462968058278,55.9633978748347
53,eg,29.871903452398,26.4941838299718
54,ge,10.0183432948567,51.1334813439932
55,gr,-2.36966957036279,54.2379333607472
56,gy,-58.9747808781477,5.62382279034036
57,is,34.8419985253627,31.8472608144505
58,id,106.82721585,-6.17555357
59,ie,-7.73764888796793,53.3054943871234
60,il,34.8419985253627,31.8472608144505
61,jo,36.4358628369717,31.0101920713363
62,ke,37.8578818658854,0.529862476788944
63,lb,35.888026075855,33.9202654117664
64,lt,23.9315379882448,55.4874125822773
65,my,102.275719605501,4.49664266041942
66,mv,73.51104943,4.17887365
67,mt,-61.0212870487474,14.6525485200192
68,mc,7.4189617,43.73248184
69,mm,96.5069211391735,21.1543188078769
70,ni,8.10530640960786,9.59395988695573
71,ng,8.10530640960786,9.59395988695573
72,om,57.0864239443949,21.3836372099704
73,pe,101.901875103385,35.4867029846329
74,ph,120.98177916,14.58678841
75,ro,24.9692584752492,45.8436147575587
76,rs,20.7952998132557,44.2267366369366
77,sk,19.4916510938648,48.7075308687827
78,si,103.808052586332,1.3516161224392
79,za,23.9137106762068,-28.3782721906973
80,th,101.017437716385,15.127333464868
81,tt,-61.2531757283896,10.4686430117018
82,ua,54.2561723713588,23.8520599823879
83,dz,2.63238813336793,28.1632395923063
84,az,47.720341220495,40.418259613178
85,bh,50.5596439032492,26.0224069941867
86,bd,90.0779740421191,24.3476077999364
87,ca,-105.750595856519,55.5859012851966
88,ci,-5.37900739607192,7.80656285654034
89,sz,31.4975289562193,-26.5626420959616
90,jp,138.592229549504,36.3864928218528
91,ls,28.2430108685831,-29.5809998474103
92,me,-102.532867448126,23.9504642310912
93,qa,51.1912009969872,25.3150785008825
94,md,73.51104943,4.17887365
95,sr,20.7952998132557,44.2267366369366
96,uz,63.169371992914,41.7504367984144
97,vn,108.339537475899,14.3154241771087
98,al,2.63238813336793,28.1632395923063
99,bs,-77.3408,25.07471
100,bj,2.42667424920265,10.3383829799812
101,bn,114.562410992128,4.56546705389121
102,jm,-77.3192220134904,18.1512945138
103,mr,-10.5327926241955,19.7574723127526
104,ru,96.6697054604756,61.9945734073292
105,lk,80.7047272491285,7.60808521895433
106,ps,35.2,31.88333
107,af,66.0264709817607,33.8388058603423
108,er,38.584156324299,15.6805129748268
109,mw,33.739163883354,-13.2158036349607
110,ma,102.275719605501,4.49664266041942
111,uy,-56.012396238658,-32.7996455126793
112,sv,-88.8665114518297,13.7368969076932
113,iq,43.4047161632042,33.0480556443919
114,ws,-171.76374956,-13.83932976
115,tg,1.04255291389074,8.76622092166324
116,ye,47.6219307491681,15.9378350127516
117,dj,42.5777653608456,11.7496765333164
118,gw,-14.9634826253283,12.0317005007387
119,kz,67.3017735657682,48.160088082685
120,na,17.2887615554773,-21.2010102346557
121,py,-58.3910238917002,-23.236210654675
122,bo,-65.801997444749,7.61957014788959
123,ir,-7.73764888796793,53.3054943871234
124,kg,74.5555962804371,41.465053955426
125,pa,-58.3910238917002,-23.236210654675
126,cl,-69.761008,-26.783346
127,li,18.0232797726029,27.0439610747292
128,mu,57.5025125,-20.16385665
129,ec,-78.4329147227382,-1.16017132420716
130,kr,128.168944342317,36.5362364654109
131,sn,-14.8208799701359,15.2214469730201
132,zm,27.4306751716734,-14.0049082837326
133,mn,103.083217801107,46.8352906606684
134,pg,145.241749381464,-6.4783775316607
135,bw,24.3162647690614,-22.2129427788611
136,kw,47.5906041080513,29.3412115743027
137,tm,59.3843773120436,39.1222850315681
138,et,39.6160319910272,8.62621960079895
139,sl,-88.8665114518297,13.7368969076932
140,gi,-11.0298621655307,10.7855460398783
141,mk,21.6974757513494,41.5996826646442
142,in,78.476681027237,22.1991660760527
143,bl,28.0467875099009,53.5399976445262
144,as,-170.707833250312,-14.304405426733
145,ug,32.3862178703861,1.27996353132461
146,hk,114.16255,22.279356
147,sa,44.652426,23.384784
148,tj,71.0420037711059,38.8385084835418
149,kp,126.847799277746,40.3470993177997
150,sd,30.049948137055,13.831539138903
151,us,-97.9222112121185,39.3812661305678
152,ss,30.0548899999997,7.2653860999999
153,bf,-1.57306231994955,12.2779295146076
154,gm,-15.912854478675,13.4445255191194
