,country,reason
0,Albania,Couldn't find excel export button
1,Algeria,Couldn't find excel export button
2,Bolivia (Plurinational State of),Couldn't find excel export button
3,Canada,Couldn't find excel export button
4,Central African Republic,Couldn't find excel export button
5,Congo,Couldn't find excel export button
6,C̫te d'Ivoire,Couldn't find excel export button
7,Democratic People's Republic of Korea,Couldn't find excel export button
8,Denmark,Couldn't find excel export button
9,El Salvador,Couldn't find excel export button
10,Eritrea,Couldn't find excel export button
11,Ethiopia,Couldn't find excel export button
12,France,Couldn't find excel export button
13,Germany,Couldn't find excel export button
14,Guinea-Bissau,Couldn't find excel export button
15,Honduras,Couldn't find excel export button
16,Iraq,Couldn't find excel export button
17,Ireland,Couldn't find excel export button
18,Italy,Couldn't find excel export button
19,Japan,Couldn't find excel export button
20,Kuwait,Couldn't find excel export button
21,Liberia,Couldn't find excel export button
22,Luxembourg,Couldn't find excel export button
23,Madagascar,Couldn't find excel export button
24,Malawi,Couldn't find excel export button
25,Mali,Couldn't find excel export button
26,Namibia,Couldn't find excel export button
27,Netherlands,Couldn't find excel export button
28,Niger,Couldn't find excel export button
29,Qatar,Couldn't find excel export button
30,Russian Federation,Couldn't find excel export button
31,Rwanda,Couldn't find excel export button
32,Spain,Couldn't find excel export button
33,State of Palestine,Couldn't find excel export button
34,Suriname,Couldn't find excel export button
35,Sweden,Couldn't find excel export button
36,Switzerland,Couldn't find excel export button
37,Turkmenistan,Couldn't find excel export button
38,Uganda,Couldn't find excel export button
39,United Kingdom of Great Britain and Northern Ireland,Couldn't find excel export button
40,Uzbekistan,Couldn't find excel export button
41,Viet Nam,Couldn't find excel export button
